GEOID20,district
12057000918,4
12061000012,5
12073004161,6
12069000029,7
12083000023,8
12083000045,9
12023000011,10
12031000073,11
12021000050,12
12101000073,13
12085000015,14
12127000210,15
12033000044,16
12071000015,17
12083000092,18
12035000291,19
12055000004,20
12127000046,21
12083000098,22
12111000043,23
12037000004,24
12099000012,25
1201100C004,26
12009000405,0
12033000181,1
12109000001,2
12105000327,3
12057000919,4
12061000005,5
12073004167,6
12069000041,7
12019071001,8
12075000007,9
12047000006,10
12031000065,11
12021000004,12
12101000049,13
12085000001,14
12127000169,15
12033000041,16
12071000074,17
12107000034,18
12035000270,19
12055000020,20
12127000058,21
120170109.2,22
1209300P-11,23
12073002363,24
12099000003,25
1201100C011,26
12009000406,0
12033000179,1
12109000071,2
12105000251,3
12057000871,4
12061000009,5
12073004455,6
12069000114,7
12031000272,8
12075000006,9
12007000009,10
12031000067,11
12021000136,12
12101000112,13
12099000078,14
12127000148,15
12033000048,16
12015000016,17
12083000043,18
12035000231,19
12105000232,20
12069000020,21
12083000007,22
12043000008,23
12073002307,24
12099000002,25
12099000490,26
12009000511,0
12033000192,1
12031000203,2
12105000504,3
12101000020,4
12061000010,5
12073004459,6
12069000037,7
12031000277,8
12029000010,9
12125000009,10
12031000063,11
12071000056,12
12057000529,13
12085000003,14
12127000097,15
12033000198,16
12071000024,17
12107000021,18
12035000290,19
12055000001,20
12127000059,21
120170102.1,22
1211100043A,23
12073002358,24
12099000624,25
1201100B006,26
12009000507,0
12033000178,1
12031000114,2
12105000506,3
12057000631,4
12061000008,5
12073004461,6
12069000053,7
12031000224,8
12029000005,9
1200300004A,10
12031000064,11
12021000018,12
12101000151,13
12085000012,14
12117000072,15
12033000197,16
12071000013,17
12107000004,18
12035000241,19
12027000016,20
12127000053,21
12083000088,22
12111000086,23
12073002251,24
12099000008,25
1201100R003,26
12009000428,0
12033000180,1
12109000075,2
12105000227,3
12057000820,4
12009000312,5
12073004453,6
12069000034,7
12001000001,8
12029000011,9
12023000016,10
12031000061,11
12021000103,12
12103000298,13
12085000005,14
12127000130,15
12033000196,16
12071000043,17
12119000113,18
12035000201,19
12027000007,20
12069000068,21
12083000106,22
1209300P-04,23
12073002253,24
12099000010,25
12099000494,26
12009000417,0
12033000173,1
12019041401,2
12105000529,3
12057000818,4
12009000302,5
12073004403,6
120170208.2,7
12019050603,8
12083000048,9
12001000014,10
12031000023,11
12021000020,12
12103000359,13
12099000087,14
12127000244,15
12033000187,16
12071000044,17
12069000001,18
12127000105,19
12015000047,20
12069000078,21
12083000097,22
12097000521,23
12073002252,24
12099000013,25
1201100C012,26
12009000426,0
12033000176,1
12031000098,2
12105000315,3
12057000810,4
12009000304,5
12073004405,6
12069220022,7
12083000038,8
12029000007,9
12001000002,10
12031000029,11
12021000019,12
12103000362,13
12111000065,14
12127000108,15
12033000207,16
12071000088,17
12083000041,18
12109000025,19
12043000005,20
12069000079,21
12083000001,22
12043000007,23
12073001359,24
12099000024,25
1201100C008,26
12009000418,0
12033000172,1
12019041201,2
12105000338,3
12057000805,4
12061000003,5
12073004458,6
120170204.2,7
12083000039,8
12079000001,9
12047000005,10
12031000045,11
12021000047,12
12057000585,13
12085000039,14
12127000180,15
12033000208,16
12071000304,17
12107000030,18
12035000350,19
12051000016,20
12069000067,21
12083000013,22
12097000550,23
12073001231,24
12099000NP3,25
12099000491,26
12009000415,0
12033000209,1
12031000092,2
12105000226,3
12057000952,4
12061000014,5
12073004456,6
12069000104,7
12083000044,8
12079000006,9
12007000006,10
12031000044,11
12081000218,12
12103000295,13
12085000038,14
12117000059,15
12033000223,16
12071000036,17
